ID,Unnamed: 1,Unnamed: 2,SITE,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,CROP AND LAND USE ,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,SOIL MANAGEMENT INFO,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,DATA,Unnamed: 35,Unnamed: 36,Unnamed: 37,CURRENT SOC AND SOIL CHARACTERISTICS,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,PREVIOUS SOC AND SOIL CHARACTERISTICS,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,SOURCE,Unnamed: 76,Unnamed: 77,Unnamed: 78
ID,IDstudy,plotID,country,region,temperature_Celsiul,precipitation_mm,climate,Latitud,Longitud,bedrock,soil_type,USDA,TYPE_CHANGE,CROP_current,cropAGE,current_land_use*,LUC_this_study,previous_land_use*,years_since_luc,TEMPORAL_only_this_study,timeTEMPORAL,CHANGE_management,year_since_MANAGEMENT_CHANGE,soil_treatments,tillageYESNO,tillage_type,fertilizerYESNO,fet_type,rate_fertilizer_kh_ha,pesticides,org_amendYESNO,org_amend_type,prev_man,SINGLE_DATA-MULTIPLE_SINGLEAMPLING,DIF_DEPTH_current_point,CONTI_DEPTH,NUM_DEPTH,year_measure,N_plots_current,N_sample_per_plot_current,N_measured_current,soil_from_cm_current,soil_to_cm_current,depth_midpoint_current,bulk_density_Mg_m3_current,%clay_current,%silt_current,%sand_current,clay_g_kg_current,silt_g_kg_current,sand_g_kg_current,ph_current,SOC_g_kg_current,sd_SOC_gkg_current,SOC_Mg_ha_current,sd_SOC_Mgha_current,N_plots_previous,N_sample_per_plot_previous,N_measured_previous,soil_from_cm_previous,soil_to_cm_previous,depth_midpoint_previous,Bulkdensity_previous,%clay_previous,%silt_previous,%sand_previous,clay_g_kg_previous,silt_g_kg_previous,sand_g_kg_previous,ph_previous,SOC_g_kg_previous,sd_SOC_gkg_previous,SOC_Mg_ha_previous,sd_SOC_Mgha_previous,yearPpub,AL_source,SOURCE,original_source
10,1,3,Brazil,SaoPaulo,21,1500,Tropical,-21.35,-47.066,Granite,Ferralsols,Oxisols,LUC,Sugarcane,7,bioenergy,YES,annual_crop,7,NO,,NO,,,,,,,,,,,,MULTI,YES,YES,4,2013,20,1,20,10,20,15,1.32,,,,267,54,679,,,,15.96,,20,1,20,10,20,15,1.44,,,,303,74,623,,,,15.33,,2017,ISIwebkNOwledge,OliveiraBordonal_etal2017,"de Oliveira Bordonal, Ricardo, et al. ""Changes in quantity and quality of soil carbon due to the land-use conversion to sugarcane (Saccharum officinarum) plantation in southern Brazil."" Agriculture, Ecosystems & Environment 240 (2017): 54-65."
11,1,3,Brazil,SaoPaulo,21,1500,Tropical,-21.35,-47.066,Granite,Ferralsols,Oxisols,LUC,Sugarcane,7,bioenergy,YES,annual_crop,7,NO,,NO,,,,,,,,,,,,MULTI,YES,YES,4,2013,20,1,20,20,60,40,1.45,,,,313,54,633,,,,62.16,,20,1,20,20,60,40,1.51,,,,321,70,609,,,,65.19,,2017,ISIwebkNOwledge,OliveiraBordonal_etal2017,"de Oliveira Bordonal, Ricardo, et al. ""Changes in quantity and quality of soil carbon due to the land-use conversion to sugarcane (Saccharum officinarum) plantation in southern Brazil."" Agriculture, Ecosystems & Environment 240 (2017): 54-65."
12,1,3,Brazil,SaoPaulo,21,1500,Tropical,-21.35,-47.066,Granite,Ferralsols,Oxisols,LUC,Sugarcane,7,bioenergy,YES,annual_crop,7,NO,,NO,,,,,,,,,,,,MULTI,YES,YES,4,2013,20,1,20,60,100,80,1.31,,,,556,39,405,,,,38.09,,20,1,20,60,100,80,1.32,,,,531,53,416,,,,43.57,,2017,ISIwebkNOwledge,OliveiraBordonal_etal2017,"de Oliveira Bordonal, Ricardo, et al. ""Changes in quantity and quality of soil carbon due to the land-use conversion to sugarcane (Saccharum officinarum) plantation in southern Brazil."" Agriculture, Ecosystems & Environment 240 (2017): 54-65."
13,1,4,Brazil,SaoPaulo,21,1500,Tropical,-21.35,-47.066,Sandstone,Luvisol,Ultisol,LUC,Sugarcane,8,bioenergy,YES,pasture,8,NO,,NO,,,,,,,,,,,,MULTI,YES,YES,4,2013,20,1,20,0,10,5,1.34,,,,121,84,795,,,,9.14,,20,1,20,0,10,5,1.34,,,,105,62,833,,,,16.94,,2017,ISIwebkNOwledge,OliveiraBordonal_etal2017,"de Oliveira Bordonal, Ricardo, et al. ""Changes in quantity and quality of soil carbon due to the land-use conversion to sugarcane (Saccharum officinarum) plantation in southern Brazil."" Agriculture, Ecosystems & Environment 240 (2017): 54-65."
14,1,4,Brazil,SaoPaulo,21,1500,Tropical,-21.35,-47.066,Sandstone,Luvisol,Ultisol,LUC,Sugarcane,8,bioenergy,YES,pasture,8,NO,,NO,,,,,,,,,,,,MULTI,YES,YES,4,2013,20,1,20,10,20,15,1.43,,,,142,87,771,,,,7.88,,20,1,20,10,20,15,1.4,,,,109,78,813,,,,13.35,,2017,ISIwebkNOwledge,OliveiraBordonal_etal2017,"de Oliveira Bordonal, Ricardo, et al. ""Changes in quantity and quality of soil carbon due to the land-use conversion to sugarcane (Saccharum officinarum) plantation in southern Brazil."" Agriculture, Ecosystems & Environment 240 (2017): 54-65."
15,1,4,Brazil,SaoPaulo,21,1500,Tropical,-21.35,-47.066,Sandstone,Luvisol,Ultisol,LUC,Sugarcane,8,bioenergy,YES,pasture,8,NO,,NO,,,,,,,,,,,,MULTI,YES,YES,4,2013,20,1,20,20,60,40,1.43,,,,128,79,793,,,,42.86,,20,1,20,20,60,40,1.45,,,,131,66,803,,,,45.52,,2017,ISIwebkNOwledge,OliveiraBordonal_etal2017,"de Oliveira Bordonal, Ricardo, et al. ""Changes in quantity and quality of soil carbon due to the land-use conversion to sugarcane (Saccharum officinarum) plantation in southern Brazil."" Agriculture, Ecosystems & Environment 240 (2017): 54-65."
16,1,4,Brazil,SaoPaulo,21,1500,Tropical,-21.35,-47.066,Sandstone,Luvisol,Ultisol,LUC,Sugarcane,8,bioenergy,YES,pasture,8,NO,,NO,,,,,,,,,,,,MULTI,YES,YES,4,2013,20,1,20,60,100,80,1.39,,,,179,97,724,,,,24.38,,20,1,20,60,100,80,1.33,,,,163,93,744,,,,24.66,,2017,ISIwebkNOwledge,OliveiraBordonal_etal2017,"de Oliveira Bordonal, Ricardo, et al. ""Changes in quantity and quality of soil carbon due to the land-use conversion to sugarcane (Saccharum officinarum) plantation in southern Brazil."" Agriculture, Ecosystems & Environment 240 (2017): 54-65."
17,2,5,Canada,Meadow_Lake,1.2,344,Subpolar,54.0279,-108.75,Calcareous_glacial,OrthicGrayLuvisol,,LUC,Poplar,7,SRC,YES,annual_crop,7,NO,,NO,,,,,,,,,,,,MULTI,NO,,1,2010,1,5,5,0,10,5,,,,,,,,4.3,13.3,,,,1,5,5,0,10,5,,,,,,,,,16,,,,2014,ISIwebkNOwledge,Yannikos_etl(2014),"Yannikos, N., Leinweber, P., Helgason, B.L., Baum, C., Walley, F.L. and Van Rees, K.C., 2014. Impact of Populus trees on the composition of organic matter and the soil microbial community in Orthic Gray Luvisols in Saskatchewan (Canada). Soil Biology and Biochemistry, 70, pp.5-11."
19,2,5,Canada,Meadow_Lake,1.2,344,Subpolar,54.0279,-108.75,Calcareous_glacial,OrthicGrayLuvisol,,LUC,Poplar,7,SRC,YES,natural_forest,7,NO,,NO,,,,,,,,,,,,MULTI,NO,,1,2010,1,5,5,0,10,5,,,,,,,,4.3,13.3,,,,1,5,5,0,10,5,,,,,,,,,5.9,,,,2014,ISIwebkNOwledge,Yannikos_etl(2014),"Yannikos, N., Leinweber, P., Helgason, B.L., Baum, C., Walley, F.L. and Van Rees, K.C., 2014. Impact of Populus trees on the composition of organic matter and the soil microbial community in Orthic Gray Luvisols in Saskatchewan (Canada). Soil Biology and Biochemistry, 70, pp.5-11."
21,2,5,Canada,Meadow_Lake,1.2,344,Subpolar,54.0279,-108.75,Calcareous_glacial,OrthicGrayLuvisol,,TEMP,Poplar,7,SRC,NO,,,YES,7,NO,,,,,,,,,,,,MULTI,NO,,1,2010,1,5,5,0,10,5,,,,,,,,4.3,13.3,,,,1,5,5,0,10,5,,,,,,,,,15,,,,2014,ISIwebkNOwledge,Yannikos_etl(2014),"Yannikos, N., Leinweber, P., Helgason, B.L., Baum, C., Walley, F.L. and Van Rees, K.C., 2014. Impact of Populus trees on the composition of organic matter and the soil microbial community in Orthic Gray Luvisols in Saskatchewan (Canada). Soil Biology and Biochemistry, 70, pp.5-11."
