Sample_ID,Ecosystem,Distance_equator,MAT,MAP,Fine_texture,pH,Plant_cover,Forest,Grassland,Soil_C,Richness_fungi,Richness_bacteria,Dominant_fungi,Dominant_bacteria,Fungal_biomass,Bacterial_biomass,Ratio_Diversity_Biomass_Bacteria,Ratio_Diversity_Biomass_Fungi
369.00,ColdForest,45.723,6,781,2.30,4.34,72.89,1,0,0.42,87.00,932.00,99.6,80.62,14.053742851676,112.249854082524,1.33746959506711,1.43627690805133
370.00,ColdForest,45.723,6,781,2.30,5.16,72.89,1,0,0.50,130.00,1191.00,99.1,75.7,2.55816641707892,86.1126425121438,1.57541438195713,2.3822795694762
371.00,TropForest,19.414,16,2833,9.11,4.86,84.29,1,0,11.51,#,2352.00,0,64.68,111.511411486615,3166.01156380657,0.486165345033652,#
372.00,TropForest,19.414,16,2833,9.11,5.04,84.29,1,0,8.28,107.00,1713.00,98.3,67.12,116.280351087959,3243.05193652002,0.384286107772058,0.691711890413645
373.00,TropForest,19.414,16,2833,9.11,5.09,84.29,1,0,10.16,97.00,1805.00,99.05,69.22,83.1702096552356,2586.93826903046,0.460992793646548,0.77325830730172
374.00,TropForest,19.414,16,2833,9.11,4.85,84.29,1,0,11.05,96.00,1699.00,99,74.56,88.6636235261607,2667.9607847209,0.43358859339895,0.746241576775478
375.00,TropForest,19.414,16,2833,9.11,4.43,84.29,1,0,24.82,83.00,1568.00,99.3,71.04,231.7027746275,5024.64432361956,0.262761492166473,0.39664375700377
376.00,TropForest,19.929,15.6,1785,14.73,4.25,100.00,1,0,26.95,89.00,1180.00,95.25,80.62,144.662283566298,6069.13097809819,0.175034167461706,0.553987303680455
377.00,TropForest,19.929,15.6,1785,14.73,3.80,100.00,1,0,24.82,79.00,1276.00,96.2,78.26,333.043674431101,6435.07249045742,0.17980281481655,0.297418359789582
378.00,TropForest,19.929,15.6,1785,14.73,3.91,100.00,1,0,36.02,#,#,0,0,374.534833140808,5594.36612562022,#,#
379.00,TropForest,19.929,15.6,1785,14.73,3.49,100.00,1,0,47.36,69.00,1142.00,97.7,77.64,497.875547016311,7115.17657245671,0.14839518126872,0.194889477618927
380.00,TropForest,19.929,15.6,1785,14.73,3.64,100.00,1,0,43.79,77.00,#,96.7,0,229.968110136702,4665.36411730222,#,0.37750593883921
381.00,TropForest,20.051,16.3,735,19.53,4.50,79.41,1,0,11.24,#,#,0,0,217.027854023469,6108.23978194459,#,#
382.00,TropForest,20.051,16.3,735,19.53,4.30,79.41,1,0,25.57,#,1716.00,0,61.9,217.246206083572,5367.54863395706,0.269724783313481,#
383.00,TropForest,20.051,16.3,735,19.53,4.60,79.41,1,0,20.49,90.00,1424.00,94.9,68.02,218.846573095145,3449.37675934749,0.319309350149822,0.435506356977207
384.00,TropForest,20.051,16.3,735,19.53,3.98,79.41,1,0,27.71,#,#,0,0,308.879388429859,7290.44767152392,#,#
385.00,TropForest,20.051,16.3,735,19.53,3.58,79.41,1,0,43.86,82.00,1019.00,92.55,83.24,709.738708829526,3565.39592718209,0.232911237919971,0.170416644191475
386.00,TropForest,22.139,16.2,2186,13.65,3.99,95.85,1,0,19.76,#,#,0,0,345.963899587565,4394.63311227253,#,#
387.00,TropForest,22.139,16.2,2186,13.65,4.00,95.85,1,0,22.72,#,#,0,0,426.926861953471,5141.96042780953,#,#
388.00,TropForest,22.139,16.2,2186,13.65,4.34,95.85,1,0,16.22,#,#,0,0,237.621537752671,4917.33265769682,#,#
389.00,TropForest,22.139,16.2,2186,13.65,3.73,95.85,1,0,30.59,125.00,1616.00,96.95,70.8,235.3275512179,4041.89092506842,0.315807682938303,0.516092184777488
390.00,TropForest,22.139,16.2,2186,13.65,3.77,95.85,1,0,37.81,112.00,2235.00,94.1,62.3,179.175436751983,5043.58056254347,0.347334746798552,0.564354965090029
391.00,Shrubland,37.621,16.4,366,51.68,5.66,90.00,0,0,2.63,154.00,1989.00,92.15,62.74,10.2045745483394,295.145940832027,1.2924830459017,1.83246567160335
392.00,Shrubland,37.621,16.4,366,51.68,5.85,90.00,0,0,2.13,142.00,1703.00,93.8,63.14,23.7666709126823,345.070307432554,1.15796731048329,1.43254595125574
393.00,Shrubland,37.621,16.4,366,51.68,5.44,90.00,0,0,2.65,139.00,1664.00,84.7,57.54,35.3967135462129,421.059269991229,1.06721672060992,1.2567898773352
394.00,Shrubland,37.621,16.4,366,51.68,5.72,90.00,0,0,2.27,136.00,1768.00,88.1,57.68,69.7888262857781,453.404142161776,1.06445295001087,0.974533292541592
395.00,Shrubland,37.621,16.4,366,51.68,5.32,90.00,0,0,4.86,144.00,1214.00,87.9,40.9,66.6797734381264,782.547901977777,0.698376905047135,1.0158706447401
396.00,Shrubland,37.489,16.5,342,48.03,6.89,90.00,0,0,5.78,168.00,2352.00,96.5,55.9,73.3159770823852,917.472357434643,0.910409427723906,1.04194375752539
397.00,Shrubland,37.489,16.5,342,48.03,6.87,90.00,0,0,7.51,173.00,2428.00,98,64.72,180.576640778801,1214.82760128867,0.817767478982427,0.714683778377016
398.00,Shrubland,37.489,16.5,342,48.03,7.01,90.00,0,0,7.08,194.00,2271.00,96.55,66.5,128.871532085688,1093.95878354873,0.829877523176986,0.881274955414214
399.00,Shrubland,37.489,16.5,342,48.03,7.21,90.00,0,0,7.70,207.00,2202.00,96.1,70.96,166.511823626251,2219.80334828074,0.5729664449442,0.810745999600875
400.00,Shrubland,37.489,16.5,342,48.03,7.29,90.00,0,0,6.15,198.00,2254.00,95.65,63.58,119.902575513262,1170.07742954804,0.802064415502955,0.91673116280263
401.00,Grassland,37.335,16.5,270,61.75,5.46,36.67,0,1,9.42,169.00,1634.00,97.3,74.96,116.831505142519,2350.12777742664,0.456805595989494,0.86425939552563
402.00,Grassland,37.335,16.5,270,61.75,5.59,36.67,0,1,8.64,117.00,1843.00,91.85,66.62,138.496988852511,2433.40356650895,0.485289273546402,0.664313237212229
403.00,Grassland,37.335,16.5,270,61.75,5.45,36.67,0,1,8.87,#,1948.00,0,68.12,66.3173651134498,2684.37645399632,0.474487949084122,#
404.00,Grassland,37.335,16.5,270,61.75,5.60,36.67,0,1,9.85,126.00,1949.00,84.4,67.32,88.8869386499474,2403.41675867362,0.507192176144364,0.851360499538096
405.00,Grassland,37.335,16.5,270,61.75,5.38,36.67,0,1,10.23,#,1937.00,0,69.26,106.07662989197,1992.38113550603,0.562846951850108,#
411.00,Grassland,37.626,16.3,376,13.58,6.57,90.00,0,1,2.68,155.00,2109.00,94.55,66.04,124.696235038815,930.510080916918,0.860336348605075,0.806543776775769
412.00,Grassland,37.626,16.3,376,13.58,6.71,90.00,0,1,2.36,173.00,1940.00,93.3,76.9,110.085116815808,639.163300056706,0.96920994196669,0.895927349593378
413.00,Grassland,37.626,16.3,376,13.58,6.57,90.00,0,1,2.84,135.00,2083.00,89.25,63.72,73.8665070040486,646.104986394891,0.995312929749784,0.949482348346687
414.00,Grassland,37.626,16.3,376,13.58,6.78,90.00,0,1,3.16,140.00,2145.00,90.5,64.86,121.790121046362,1000.19137340352,0.840200815603655,0.776239790209812
415.00,Grassland,37.626,16.3,376,13.58,6.78,90.00,0,1,2.39,130.00,1953.00,83.75,65.96,155.829481286757,809.68502075726,0.881164143869968,0.662139162246587
416.00,Grassland,37.468,15.9,446,47.77,4.98,90.00,1,1,6.11,22.00,1632.00,80.35,55.18,1218.51826663766,4031.52730760877,0.318874022030566,0.023651641495502
417.00,Grassland,37.468,15.9,446,47.77,4.95,90.00,1,1,2.54,133.00,1655.00,98.05,61.26,315.880978889395,1248.61265733564,0.659043929296658,0.449415131601327
418.00,Grassland,37.468,15.9,446,47.77,5.05,90.00,1,1,2.80,132.00,1744.00,97.35,59.5,198.662532852953,992.857237450847,0.759705080621739,0.586991965376074
419.00,Grassland,37.468,15.9,446,47.77,4.83,90.00,1,1,2.27,120.00,1654.00,98.1,57.58,272.281561736338,1317.06709462717,0.640784783739043,0.46062352712215
420.00,Grassland,37.468,15.9,446,47.77,4.91,90.00,1,1,1.81,123.00,1697.00,98.3,52.62,84.605316396205,555.957303306961,0.966092866829643,0.860318191581738
439.00,Cropland,23.867,21.6,2258,80.50,3.30,80.00,0,0,4.62,91.00,618.00,93.9,86.96,13.9018221990761,426.27846347065,0.616109799529832,1.46134061600306
440.00,Cropland,23.867,21.6,2258,80.50,3.62,80.00,0,0,4.98,130.00,1514.00,94.3,71.14,24.1930445934853,439.160635018728,1.00858317131461,1.38620025523469
441.00,Cropland,23.867,21.6,2258,80.50,3.58,80.00,0,0,8.51,100.00,508.00,91.45,93.42,28.073596053156,1271.85606521724,0.251560068117306,1.20907096915217
442.00,Cropland,23.867,21.6,2258,80.50,3.56,80.00,0,0,3.54,#,931.00,0,84.5,18.2339139376423,572.411284510481,0.696909367657212,#
443.00,Cropland,23.867,21.6,2258,80.50,3.92,80.00,0,0,1.65,134.00,1907.00,81.8,67.6,12.5541338830613,338.514431912258,1.21674219751604,1.67983013237463
444.00,Cropland,23.862,21.5,2313,80.09,4.57,80.00,0,0,1.62,154.00,1646.00,91.4,59.5,8.28791631472902,225.066409791755,1.31912813728465,1.92390647923743
445.00,Cropland,23.862,21.5,2313,80.09,4.07,80.00,0,0,1.24,115.00,1471.00,76.05,67.04,5.76121782087373,181.861667353625,1.35625244819308,1.95307072580342
446.00,Cropland,23.862,21.5,2313,80.09,4.20,80.00,0,0,0.76,105.00,1444.00,86.1,48.1,8.66847524524527,121.377023761572,1.52009762671047,1.73071828134834
447.00,Cropland,23.862,21.5,2313,80.09,4.52,80.00,0,0,2.20,149.00,1765.00,76.8,61.32,15.6575734926575,322.883119135661,1.20130513180333,1.63185884787144
448.00,Cropland,23.862,21.5,2313,80.09,4.28,80.00,0,0,1.00,192.00,2024.00,84.15,49.24,10.4613209490558,156.328463150281,1.56987211821089,1.9200999598353
449.00,Cropland,23.841,21.2,2467,79.50,4.86,80.00,0,0,1.14,150.00,1833.00,85.65,61.54,9.97252652395693,193.279360852075,1.43319669987614,1.83073289989425
450.00,Cropland,23.841,21.2,2467,79.50,3.19,80.00,0,0,2.03,80.00,815.00,96.5,87.38,5.47056329718489,282.196881801672,0.895614234744215,1.80835124469434
451.00,Cropland,23.841,21.2,2467,79.50,4.13,80.00,0,0,0.93,105.00,2249.00,90.1,55.24,3.74545124574681,114.827721762181,1.75272212722159,2.10625321557974
452.00,Cropland,23.841,21.2,2467,79.50,3.30,80.00,0,0,4.04,#,#,0,0,15.5083716767182,467.491511797345,#,#
453.00,Cropland,23.841,21.2,2467,79.50,3.55,80.00,0,0,1.93,137.00,1442.00,97.2,67.34,8.33827581349315,274.131647446559,1.17616444800311,1.86853945584402
454.00,Cropland,23.892,21,2423,86.42,4.09,80.00,0,0,1.00,78.00,1384.00,97.7,52.2,2.04233603870358,80.9344055358223,1.67649386875573,2.25302646646
455.00,Cropland,23.892,21,2423,86.42,4.35,80.00,0,0,1.10,106.00,1459.00,86.95,52.92,6.4820831758519,139.414752490163,1.46543358740045,1.86320601068592
456.00,Cropland,23.892,21,2423,86.42,4.18,80.00,0,0,0.69,106.00,1251.00,83.8,60.76,3.40962496579581,73.9232547526037,1.66697724026056,2.15390927494563
457.00,Cropland,23.892,21,2423,86.42,4.15,80.00,0,0,1.00,88.00,1170.00,94.75,64.42,1.81366474834455,100.635375994326,1.49870015857893,2.36825477173672
458.00,Cropland,23.892,21,2423,86.42,4.19,80.00,0,0,1.44,87.00,1223.00,95.7,64.74,3.26639772994953,132.93117652836,1.4007788502377,2.08193368897659
