Name,Citation,,Year,Country,Longitude,Latitude,Elevation (m),MAP (mm),MAT (��C),Soil type (FAO),Land-use type,,,depth,Sand,Silt,Clay,pH,soil C,soil N,soil P,SMB C,SMB N,SMB P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asada et al. ,"Hayden, H. L., J. Drake, M. Imhof, A. P. A. Oxley, S. Norng, and P. M. Mele (2010), The abundance of nitrogen cycle genes amoA and nifH depends on land-uses and soil types in South-Eastern Australia, Soil Biol. Biochem., 42(10), 1774-1783.",,2010,Australia,146,-36,,,,Calcisols ,Not mentioned,,,0~5,,,,5.3,,199.9,9.9,2.8,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asada et al. ,"Hayden, H. L., J. Drake, M. Imhof, A. P. A. Oxley, S. Norng, and P. M. Mele (2010), The abundance of nitrogen cycle genes amoA and nifH depends on land-uses and soil types in South-Eastern Australia, Soil Biol. Biochem., 42(10), 1774-1783.",,2010,Australia,142,-35,,,,Calcisols ,Not mentioned,,,0~5,,,,5.3,,164.2,6.3,6.4,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asada et al. ,"Hayden, H. L., J. Drake, M. Imhof, A. P. A. Oxley, S. Norng, and P. M. Mele (2010), The abundance of nitrogen cycle genes amoA and nifH depends on land-uses and soil types in South-Eastern Australia, Soil Biol. Biochem., 42(10), 1774-1783.",,2010,Australia,142,-37,,,,Solonetz,Not mentioned,,,0~5,,,,7.6,,12.1,4.8,17.7,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asada et al. ,"Inubushi, K., et al. (2005), Properties of soil in Chiba University's environmental horticulture and forestry (Tone koreichi) farm. I. Microbial properties, gas production and trace element analysis, Tech. Bull. Fac. Hortic. Chiba Univ., 59, 1-7.",,2005,Japan,,36,,,12,Andosols,Temperate Broadleaf Forest,,,0~27,772,98,130,5.4,5320.3,382,,51.1,11.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asada et al. ,"Inubushi, K., et al. (2005), Properties of soil in Chiba University's environmental horticulture and forestry (Tone koreichi) farm. I. Microbial properties, gas production and trace element analysis, Tech. Bull. Fac. Hortic. Chiba Univ., 59, 1-7.",,2005,Japan,,36,,,12,Andosols,Temperate Broadleaf Forest,,,27~62,529,250,221,5.4,2889.1,240.6,,27.3,8.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asada et al. ,"Kong, Y., H. Nagano, J. K?tai, I. V?g?, ?. Z. Ol?h, M. Yashima, and K. Inubushi (2013), CO2, N2O and CH4 production/consumption potentials of soils under different land-use types in central Japan and eastern Hungary, Soil Sci. Plant Nutr., 59(3), 455-462.",,2013,Japan,139,34,2726,,16.5,Andosols,Temperate Broadleaf Forest,,,0~15,,,,5.6,11073.5,642.5,,155,13.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asada et al. ,"Kong, Y., H. Nagano, J. K?tai, I. V?g?, ?. Z. Ol?h, M. Yashima, and K. Inubushi (2013), CO2, N2O and CH4 production/consumption potentials of soils under different land-use types in central Japan and eastern Hungary, Soil Sci. Plant Nutr., 59(3), 455-462.",,2013,Japan,139,36,1479,,12.7,Andosols,Temperate Broadleaf Forest,,,0~15,,,,5.4,5245.3,364.1,,17.2,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asada et al. ,"Kong, Y., H. Nagano, J. K?tai, I. V?g?, ?. Z. Ol?h, M. Yashima, and K. Inubushi (2013), CO2, N2O and CH4 production/consumption potentials of soils under different land-use types in central Japan and eastern Hungary, Soil Sci. Plant Nutr., 59(3), 455-462.",,2013,Japan,21,48,995,,9.9,Leptosols,Temperate Broadleaf Forest,,,0~15,,,,7.4,2914.1,178.5,,7.1,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asada et al. ,"Kunito, T., M. Tsunekawa, S. Yoshida, H.-D. Park, H. Toda, K. Nagaoka, and K. Saeki (2012), Soil properties affecting phosphorus forms and phosphatase activities in Japanese forest soils: Soil microorganisms may be limited by phosphorus, Soil Sci., 177(1), 39-46.",,2012,Japan,,36,1515,1563.5,9.45,Andosols,Temperate Coniferous Forest,,,,,,,5.4,7493.3,464.1,51,29.1,7.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asada et al. ,"Kunito, T., M. Tsunekawa, S. Yoshida, H.-D. Park, H. Toda, K. Nagaoka, and K. Saeki (2012), Soil properties affecting phosphorus forms and phosphatase activities in Japanese forest soils: Soil microorganisms may be limited by phosphorus, Soil Sci., 177(1), 39-46.",,2012,Japan,,36,1515,1563.5,9.45,Andosols,Temperate Coniferous Forest,,,,,,,4.8,9075.2,485.5,43.3,45.5,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asada et al. ,"Kunito, T., M. Tsunekawa, S. Yoshida, H.-D. Park, H. Toda, K. Nagaoka, and K. Saeki (2012), Soil properties affecting phosphorus forms and phosphatase activities in Japanese forest soils: Soil microorganisms may be limited by phosphorus, Soil Sci., 177(1), 39-46.",,2012,Japan,,36,1515,1563.5,9.45,Podzols,Temperate Coniferous Forest,,,,,,,3.8,32887.3,1499.3,33.4,125.4,36.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asada et al. ,"Kunito, T., M. Tsunekawa, S. Yoshida, H.-D. Park, H. Toda, K. Nagaoka, and K. Saeki (2012), Soil properties affecting phosphorus forms and phosphatase activities in Japanese forest soils: Soil microorganisms may be limited by phosphorus, Soil Sci., 177(1), 39-46.",,2012,Japan,,36,1515,1563.5,9.45,Cambisols,Temperate Coniferous Forest,,,,,,,4.6,8742.2,456.9,33.8,49,11.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asada et al. ,"Laxminarayana, K. (2010), Microbial biomass in relation to soil properties under integrated farming systems of Meghalaya, India, Commun. Soil Sci. Plant Anal., 41(3), 332-345.",,2010,India,91,25,980,,,Luvisols ,Tropical/Subtropical Forest,,,0~15,,,,4.6,1465.4,,,13.7,1.2,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asada et al. ,"Laxminarayana, K. (2010), Microbial biomass in relation to soil properties under integrated farming systems of Meghalaya, India, Commun. Soil Sci. Plant Anal., 41(3), 332-345.",,2010,India,91,25,980,,,Luvisols ,Tropical/Subtropical Forest,,,15~30,,,,4.8,1573.6,,,16.2,1.7,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asada et al. ,"Laxminarayana, K. (2010), Microbial biomass in relation to soil properties under integrated farming systems of Meghalaya, India, Commun. Soil Sci. Plant Anal., 41(3), 332-345.",,2010,India,91,25,980,,,Luvisols ,Tropical/Subtropical Forest,,,30~60,,,,4.5,1556.9,,,27.8,2.4,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asada et al. ,"Li, Q., H. L. Allen, and A. G. Wollum II (2004), Microbial biomass and bacterial functional diversity in forest soils: effects of organic matter removal, compaction, and vegetation control, Soil Biol. Biochem., 36(4), 571-579.",,2004,USA,,,,1440,17,Acrisols,Temperate Coniferous Forest,,,0~10,,,,,,,,30.9,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asada et al. ,"Li, Q., H. L. Allen, and A. G. Wollum II (2004), Microbial biomass and bacterial functional diversity in forest soils: effects of organic matter removal, compaction, and vegetation control, Soil Biol. Biochem., 36(4), 571-579.",,2004,USA,,,,1440,17,Acrisols,Temperate Coniferous Forest,,,0~10,,,,,,,,45.8,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
