Name,Citation,,Year,Country,Longitude,Latitude,Elevation (m),MAP (mm),MAT (��C),Soil type (FAO),Land-use type,,,depth,Sand,Silt,Clay,pH,soil C,soil N,soil P,SMB C,SMB N,SMB P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asada et al. ,"Sakamoto, K., and N. Hodono (2000), Turnover time of microbial biomass carbon in Japanese upland soils with different textures, Soil Sci. Plant Nutr., 46(2), 483-490.",,2000,Japan,140,35,,,,Andosols,Upland field,,,0~10,458,458,84,5.7,5370.2,349.8,,11.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asada et al. ,"Sakamoto, K., and N. Hodono (2000), Turnover time of microbial biomass carbon in Japanese upland soils with different textures, Soil Sci. Plant Nutr., 46(2), 483-490.",,2000,Japan,139,34,,,,Cambisols,Upland field,,,0~10,602,237,162,5.6,707.7,50,,9.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asada et al. ,"Sakamoto, K., and N. Hodono (2000), Turnover time of microbial biomass carbon in Japanese upland soils with different textures, Soil Sci. Plant Nutr., 46(2), 483-490.",,2000,Japan,139,35,,,,Cambisols,Upland field,,,0~10,377,234,389,6.3,3355.3,257,,46.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asada et al. ,"Sakamoto, K., and Y. Oba (1991), Relationship between the amount of organic material applied and soil biomass content, Soil Sci. Plant Nutr., 37(3), 387-397.",,1991,Japan,138,35,,,13.9,Fluvisols,Upland field,,,0~10,634,178,188,5.2,582.8,61.4,,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asada et al. ,"Sakamoto, K., and Y. Oba (1991), Relationship between the amount of organic material applied and soil biomass content, Soil Sci. Plant Nutr., 37(3), 387-397.",,1991,Japan,138,35,,,13.9,Fluvisols,Upland field,,,0~10,634,178,188,6.1,957.5,85.7,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asada et al. ,"Sakamoto, K., and Y. Oba (1991), Relationship between the amount of organic material applied and soil biomass content, Soil Sci. Plant Nutr., 37(3), 387-397.",,1991,Japan,138,35,,,13.9,Fluvisols,Upland field,,,0~10,634,178,188,5.7,1107.3,83.5,,14.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asada et al. ,"Sakamoto, K., and Y. Oba (1991), Relationship between the amount of organic material applied and soil biomass content, Soil Sci. Plant Nutr., 37(3), 387-397.",,1991,Japan,138,35,,,13.9,Fluvisols,Upland field,,,0~10,634,178,188,5.6,1365.4,84.2,,9.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asada et al. ,"Sakamoto, K., and Y. Oba (1991), Relationship between the amount of organic material applied and soil biomass content, Soil Sci. Plant Nutr., 37(3), 387-397.",,1991,Japan,138,35,,,13.9,Fluvisols,Upland field,,,0~10,634,178,188,4.7,782.6,82.8,,6.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asada et al. ,"Sakamoto, K., and Y. Oba (1991), Relationship between the amount of organic material applied and soil biomass content, Soil Sci. Plant Nutr., 37(3), 387-397.",,1991,Japan,138,35,,,13.9,Andosols,Upland field,,,0~10,626,240,134,5.5,3155.5,239.2,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asada et al. ,"Sakamoto, K., and Y. Oba (1991), Relationship between the amount of organic material applied and soil biomass content, Soil Sci. Plant Nutr., 37(3), 387-397.",,1991,Japan,138,35,,,13.9,Andosols,Upland field,,,0~10,626,240,134,5.7,3763.3,262,,18.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asada et al. ,"Sakamoto, K., and Y. Oba (1991), Relationship between the amount of organic material applied and soil biomass content, Soil Sci. Plant Nutr., 37(3), 387-397.",,1991,Japan,138,35,,,13.9,Andosols,Upland field,,,0~10,626,240,134,5.6,3821.6,278.4,,17.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asada et al. ,"Sakamoto, K., and Y. Oba (1991), Relationship between the amount of organic material applied and soil biomass content, Soil Sci. Plant Nutr., 37(3), 387-397.",,1991,Japan,138,35,,,13.9,Andosols,Upland field,,,0~10,626,240,134,5.7,3430.3,254.2,,16.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asada et al. ,"Sakamoto, K., and Y. Oba (1991), Relationship between the amount of organic material applied and soil biomass content, Soil Sci. Plant Nutr., 37(3), 387-397.",,1991,Japan,138,35,,,13.9,Andosols,Upland field,,,0~10,626,240,134,6,3746.7,274.2,,18.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asada et al. ,"Sakamoto, K., and Y. Oba (1991), Relationship between the amount of organic material applied and soil biomass content, Soil Sci. Plant Nutr., 37(3), 387-397.",,1991,Japan,138,35,,,13.9,Andosols,Upland field,,,0~10,626,240,134,5.5,3929.8,288.4,,22.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asada et al. ,"Sakamoto, K., and Y. Oba (1991), Relationship between the amount of organic material applied and soil biomass content, Soil Sci. Plant Nutr., 37(3), 387-397.",,1991,Japan,140,36,,,13.4,Andosols,Upland field,,,0~10,481,238,281,5.9,5794.8,357,,12.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asada et al. ,"Sakamoto, K., and Y. Oba (1991), Relationship between the amount of organic material applied and soil biomass content, Soil Sci. Plant Nutr., 37(3), 387-397.",,1991,Japan,140,36,,,13.4,Andosols,Upland field,,,0~10,481,238,281,6,6352.7,387,,23.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asada et al. ,"Sakamoto, K., and Y. Oba (1991), Relationship between the amount of organic material applied and soil biomass content, Soil Sci. Plant Nutr., 37(3), 387-397.",,1991,Japan,140,36,,,13.4,Andosols,Upland field,,,0~10,481,238,281,5.7,6277.7,382.7,,13.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asada et al. ,"Sakamoto, K., and Y. Oba (1991), Relationship between the amount of organic material applied and soil biomass content, Soil Sci. Plant Nutr., 37(3), 387-397.",,1991,Japan,140,36,,,13.4,Andosols,Upland field,,,0~10,481,238,281,5.7,6269.4,377,,16.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asada et al. ,"Sakamoto, K., and Y. Oba (1991), Relationship between the amount of organic material applied and soil biomass content, Soil Sci. Plant Nutr., 37(3), 387-397.",,1991,Japan,140,36,,,13.4,Andosols,Upland field,,,0~10,481,238,281,5.7,5778.2,356.3,,12.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asada et al. ,"Sakamoto, K., and Y. Oba (1991), Relationship between the amount of organic material applied and soil biomass content, Soil Sci. Plant Nutr., 37(3), 387-397.",,1991,Japan,140,36,,,13.4,Andosols,Upland field,,,0~10,481,238,281,5.9,5869.8,360.5,,11.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asada et al. ,"Sakamoto, K., and Y. Oba (1991), Relationship between the amount of organic material applied and soil biomass content, Soil Sci. Plant Nutr., 37(3), 387-397.",,1991,Japan,139,36,,,12.9,Andosols,Upland field,,,0~10,521,388,92,5.2,7834.7,446.9,,14.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asada et al. ,"Sakamoto, K., and Y. Oba (1991), Relationship between the amount of organic material applied and soil biomass content, Soil Sci. Plant Nutr., 37(3), 387-397.",,1991,Japan,139,36,,,12.9,Andosols,Upland field,,,0~10,521,388,92,5.3,7959.6,454.1,,21.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asada et al. ,"Sakamoto, K., and Y. Oba (1991), Relationship between the amount of organic material applied and soil biomass content, Soil Sci. Plant Nutr., 37(3), 387-397.",,1991,Japan,139,36,,,12.9,Andosols,Upland field,,,0~10,521,388,92,5.1,8176,476.2,,26.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asada et al. ,"Sakamoto, K., and Y. Oba (1991), Relationship between the amount of organic material applied and soil biomass content, Soil Sci. Plant Nutr., 37(3), 387-397.",,1991,Japan,139,36,,,12.9,Andosols,Upland field,,,0~10,521,388,92,5.4,8059.5,471.9,,19.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asada et al. ,"Sakamoto, K., and Y. Oba (1991), Relationship between the amount of organic material applied and soil biomass content, Soil Sci. Plant Nutr., 37(3), 387-397.",,1991,Japan,139,36,,,12.9,Andosols,Upland field,,,0~10,521,388,92,5.5,7809.7,436.2,,19.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asada et al. ,"Sakamoto, K., and Y. Oba (1991), Relationship between the amount of organic material applied and soil biomass content, Soil Sci. Plant Nutr., 37(3), 387-397.",,1991,Japan,139,36,,,12.9,Andosols,Upland field,,,0~10,521,388,92,5.5,8400.8,479.1,,29.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asada et al. ,"Sakamoto, K., and Y. Oba (1991), Relationship between the amount of organic material applied and soil biomass content, Soil Sci. Plant Nutr., 37(3), 387-397.",,1991,Japan,139,36,,,12.9,Andosols,Upland field,,,0~10,521,388,92,5.4,8509.1,487.6,,25.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asada et al. ,"Sakamoto, K., and Y. Oba (1991), Relationship between the amount of organic material applied and soil biomass content, Soil Sci. Plant Nutr., 37(3), 387-397.",,1991,Japan,139,36,,,12.9,Andosols,Upland field,,,0~10,521,388,92,6,8334.2,498.3,,22.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asada et al. ,"Sato, A., and M. Seto (1995), Relationship between the size of microbial biomass carbon and the amounts of mineral ions in arable and forest soils, Soil Microorganisms, 46, 51-59.",,1995,Japan,,35,,,,Andosols,Upland field,,,5~10,,,,5.8,5495.1,271.3,,13.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asada et al. ,"Sato, A., and M. Seto (1995), Relationship between the size of microbial biomass carbon and the amounts of mineral ions in arable and forest soils, Soil Microorganisms, 46, 51-59.",,1995,Japan,,35,,,,Andosols,Temperate Broadleaf forest,,,5~10,,,,4.4,3913.2,185.6,,46.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asada et al. ,"Sato, A., and M. Seto (1995), Relationship between the size of microbial biomass carbon and the amounts of mineral ions in arable and forest soils, Soil Microorganisms, 46, 51-59.",,1995,Japan,,36,,,,Cambisols,Temperate Broadleaf forest,,,5~10,,,,4.3,8908.7,357,,91.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asada et al. ,"Sato, A., and M. Seto (1995), Relationship between the size of microbial biomass carbon and the amounts of mineral ions in arable and forest soils, Soil Microorganisms, 46, 51-59.",,1995,Japan,,35,,,,Andosols,Upland field,,,0~40,,,,5.8,5495.1,271.3,,8.3,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asada et al. ,"Sato, A., and M. Seto (1995), Relationship between the size of microbial biomass carbon and the amounts of mineral ions in arable and forest soils, Soil Microorganisms, 46, 51-59.",,1995,Japan,,35,,,,Andosols,Temperate Broadleaf forest,,,0~40,,,,4.4,3913.2,185.6,,99.9,12.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asada et al. ,"Sato, A., and M. Seto (1995), Relationship between the size of microbial biomass carbon and the amounts of mineral ions in arable and forest soils, Soil Microorganisms, 46, 51-59.",,1995,Japan,,36,,,,Cambisols,Temperate Broadleaf forest,,,0~40,,,,4.3,8908.7,357,,124.9,15.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asada et al. ,"Sharma, K. L., et al. (2009), Influence of tillage and nutrient sources on yield sustainability and soil quality under sorghum-mung bean system in rainfed semi-arid tropics, Commun. Soil Sci. Plant Anal., 40(15-16), 2579-2602.",,2009,India,78,17,515,750,26,Luvisols,Upland field,,,0~20,,,,,,,,9.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asada et al. ,"Sharma, K. L., et al. (2009), Influence of tillage and nutrient sources on yield sustainability and soil quality under sorghum-mung bean system in rainfed semi-arid tropics, Commun. Soil Sci. Plant Anal., 40(15-16), 2579-2602.",,2009,India,78,17,515,750,26,Luvisols,Upland field,,,0~20,,,,6.3,466.3,,,11.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asada et al. ,"Sharma, K. L., et al. (2009), Influence of tillage and nutrient sources on yield sustainability and soil quality under sorghum-mung bean system in rainfed semi-arid tropics, Commun. Soil Sci. Plant Anal., 40(15-16), 2579-2602.",,2009,India,78,17,515,750,26,Luvisols,Upland field,,,0~20,,,,6.3,499.6,,,12.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asada et al. ,"Sharma, K. L., et al. (2009), Influence of tillage and nutrient sources on yield sustainability and soil quality under sorghum-mung bean system in rainfed semi-arid tropics, Commun. Soil Sci. Plant Anal., 40(15-16), 2579-2602.",,2009,India,78,17,515,750,26,Luvisols,Upland field,,,0~20,,,,6.9,516.2,,,12.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asada et al. ,"Sharma, K. L., et al. (2009), Influence of tillage and nutrient sources on yield sustainability and soil quality under sorghum-mung bean system in rainfed semi-arid tropics, Commun. Soil Sci. Plant Anal., 40(15-16), 2579-2602.",,2009,India,78,17,515,750,26,Luvisols,Upland field,,,0~20,,,,6.5,524.5,,,13.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asada et al. ,"Sharma, K. L., et al. (2009), Influence of tillage and nutrient sources on yield sustainability and soil quality under sorghum-mung bean system in rainfed semi-arid tropics, Commun. Soil Sci. Plant Anal., 40(15-16), 2579-2602.",,2009,India,78,17,515,750,26,Luvisols,Upland field,,,0~20,,,,6.6,541.2,,,10.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asada et al. ,"Sharma, K. L., et al. (2009), Influence of tillage and nutrient sources on yield sustainability and soil quality under sorghum-mung bean system in rainfed semi-arid tropics, Commun. Soil Sci. Plant Anal., 40(15-16), 2579-2602.",,2009,India,78,17,515,750,26,Luvisols,Upland field,,,0~20,,,,6.8,474.6,,,12.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asada et al. ,"Sharma, K. L., et al. (2009), Influence of tillage and nutrient sources on yield sustainability and soil quality under sorghum-mung bean system in rainfed semi-arid tropics, Commun. Soil Sci. Plant Anal., 40(15-16), 2579-2602.",,2009,India,78,17,515,750,26,Luvisols,Upland field,,,0~20,,,,6.6,507.9,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asada et al. ,"Sharma, K. L., et al. (2009), Influence of tillage and nutrient sources on yield sustainability and soil quality under sorghum-mung bean system in rainfed semi-arid tropics, Commun. Soil Sci. Plant Anal., 40(15-16), 2579-2602.",,2009,India,78,17,515,750,26,Luvisols,Upland field,,,0~20,,,,6.6,582.8,,,13.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asada et al. ,"Sharma, K. L., et al. (2009), Influence of tillage and nutrient sources on yield sustainability and soil quality under sorghum-mung bean system in rainfed semi-arid tropics, Commun. Soil Sci. Plant Anal., 40(15-16), 2579-2602.",,2009,India,78,17,515,750,26,Luvisols,Upland field,,,0~20,,,,6.6,549.5,,,14.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asada et al. ,"Sharma, K. L., U. K. Mandal, K. Srinivas, K. P. R. Vittal, B. Mandal, J. K. Grace, and V. Ramesh (2005), Long-term soil management effects on crop yields and soil quality in a dryland Alfisol, Soil Tillage Res., 83(2), 246-259.",,2005,India,78,17,515,746,26,Luvisols,Upland field,,,0~15,767,100,133,6.6,474.6,,6.8,10.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asada et al. ,"Sharma, K. L., U. K. Mandal, K. Srinivas, K. P. R. Vittal, B. Mandal, J. K. Grace, and V. Ramesh (2005), Long-term soil management effects on crop yields and soil quality in a dryland Alfisol, Soil Tillage Res., 83(2), 246-259.",,2005,India,78,17,515,746,26,Luvisols,Upland field,,,0~15,767,100,133,6.3,441.3,,6.8,11.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asada et al. ,"Sharma, K. L., U. K. Mandal, K. Srinivas, K. P. R. Vittal, B. Mandal, J. K. Grace, and V. Ramesh (2005), Long-term soil management effects on crop yields and soil quality in a dryland Alfisol, Soil Tillage Res., 83(2), 246-259.",,2005,India,78,17,515,746,26,Luvisols,Upland field,,,0~15,767,100,133,6.3,507.9,,6.8,13.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asada et al. ,"Sharma, K. L., U. K. Mandal, K. Srinivas, K. P. R. Vittal, B. Mandal, J. K. Grace, and V. Ramesh (2005), Long-term soil management effects on crop yields and soil quality in a dryland Alfisol, Soil Tillage Res., 83(2), 246-259.",,2005,India,78,17,515,746,26,Luvisols,Upland field,,,0~15,767,100,133,6.3,516.2,,6.8,13.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asada et al. ,"Sharma, K. L., U. K. Mandal, K. Srinivas, K. P. R. Vittal, B. Mandal, J. K. Grace, and V. Ramesh (2005), Long-term soil management effects on crop yields and soil quality in a dryland Alfisol, Soil Tillage Res., 83(2), 246-259.",,2005,India,78,17,515,746,26,Luvisols,Upland field,,,0~15,767,100,133,6.4,416.3,,6.8,11.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asada et al. ,"Sharma, K. L., U. K. Mandal, K. Srinivas, K. P. R. Vittal, B. Mandal, J. K. Grace, and V. Ramesh (2005), Long-term soil management effects on crop yields and soil quality in a dryland Alfisol, Soil Tillage Res., 83(2), 246-259.",,2005,India,78,17,515,746,26,Luvisols,Upland field,,,0~15,767,100,133,6.3,466.3,,6.8,12.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asada et al. ,"Sharma, K. L., U. K. Mandal, K. Srinivas, K. P. R. Vittal, B. Mandal, J. K. Grace, and V. Ramesh (2005), Long-term soil management effects on crop yields and soil quality in a dryland Alfisol, Soil Tillage Res., 83(2), 246-259.",,2005,India,78,17,515,746,26,Luvisols,Upland field,,,0~15,767,100,133,6.3,549.5,,6.8,14.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asada et al. ,"Sharma, K. L., U. K. Mandal, K. Srinivas, K. P. R. Vittal, B. Mandal, J. K. Grace, and V. Ramesh (2005), Long-term soil management effects on crop yields and soil quality in a dryland Alfisol, Soil Tillage Res., 83(2), 246-259.",,2005,India,78,17,515,746,26,Luvisols,Upland field,,,0~15,767,100,133,6.2,532.9,,6.8,15.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asada et al. ,"Sharma, K. L., U. K. Mandal, K. Srinivas, K. P. R. Vittal, B. Mandal, J. K. Grace, and V. Ramesh (2005), Long-term soil management effects on crop yields and soil quality in a dryland Alfisol, Soil Tillage Res., 83(2), 246-259.",,2005,India,78,17,515,746,26,Luvisols,Upland field,,,0~15,767,100,133,6.3,299.7,,6.8,9.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asada et al. ,"Sharma, K. L., U. K. Mandal, K. Srinivas, K. P. R. Vittal, B. Mandal, J. K. Grace, and V. Ramesh (2005), Long-term soil management effects on crop yields and soil quality in a dryland Alfisol, Soil Tillage Res., 83(2), 246-259.",,2005,India,78,17,515,746,26,Luvisols,Upland field,,,0~15,767,100,133,6.1,299.7,,6.8,9.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asada et al. ,"Sharma, K. L., U. K. Mandal, K. Srinivas, K. P. R. Vittal, B. Mandal, J. K. Grace, and V. Ramesh (2005), Long-term soil management effects on crop yields and soil quality in a dryland Alfisol, Soil Tillage Res., 83(2), 246-259.",,2005,India,78,17,515,746,26,Luvisols,Upland field,,,0~15,767,100,133,6.1,316.4,,6.8,9.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asada et al. ,"Sharma, K. L., U. K. Mandal, K. Srinivas, K. P. R. Vittal, B. Mandal, J. K. Grace, and V. Ramesh (2005), Long-term soil management effects on crop yields and soil quality in a dryland Alfisol, Soil Tillage Res., 83(2), 246-259.",,2005,India,78,17,515,746,26,Luvisols,Upland field,,,0~15,767,100,133,6.1,333,,6.8,9.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asada et al. ,"Sharma, K. L., U. K. Mandal, K. Srinivas, K. P. R. Vittal, B. Mandal, J. K. Grace, and V. Ramesh (2005), Long-term soil management effects on crop yields and soil quality in a dryland Alfisol, Soil Tillage Res., 83(2), 246-259.",,2005,India,78,17,515,746,26,Luvisols,Upland field,,,0~15,767,100,133,6.4,449.6,,6.8,13.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asada et al. ,"Sharma, K. L., U. K. Mandal, K. Srinivas, K. P. R. Vittal, B. Mandal, J. K. Grace, and V. Ramesh (2005), Long-term soil management effects on crop yields and soil quality in a dryland Alfisol, Soil Tillage Res., 83(2), 246-259.",,2005,India,78,17,515,746,26,Luvisols,Upland field,,,0~15,767,100,133,6.1,474.6,,6.8,14.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asada et al. ,"Sharma, K. L., U. K. Mandal, K. Srinivas, K. P. R. Vittal, B. Mandal, J. K. Grace, and V. Ramesh (2005), Long-term soil management effects on crop yields and soil quality in a dryland Alfisol, Soil Tillage Res., 83(2), 246-259.",,2005,India,78,17,515,746,26,Luvisols,Upland field,,,0~15,767,100,133,6.3,499.6,,6.8,14.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asada et al. ,"Sharma, K. L., U. K. Mandal, K. Srinivas, K. P. R. Vittal, B. Mandal, J. K. Grace, and V. Ramesh (2005), Long-term soil management effects on crop yields and soil quality in a dryland Alfisol, Soil Tillage Res., 83(2), 246-259.",,2005,India,78,17,515,746,26,Luvisols,Upland field,,,0~15,767,100,133,5.9,524.5,,6.8,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asada et al. ,"Sharma, K. L., U. K. Mandal, K. Srinivas, K. P. R. Vittal, B. Mandal, J. K. Grace, and V. Ramesh (2005), Long-term soil management effects on crop yields and soil quality in a dryland Alfisol, Soil Tillage Res., 83(2), 246-259.",,2005,India,78,17,515,746,26,Luvisols,Upland field,,,0~15,767,100,133,6.4,333,,6.8,11.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asada et al. ,"Sharma, K. L., U. K. Mandal, K. Srinivas, K. P. R. Vittal, B. Mandal, J. K. Grace, and V. Ramesh (2005), Long-term soil management effects on crop yields and soil quality in a dryland Alfisol, Soil Tillage Res., 83(2), 246-259.",,2005,India,78,17,515,746,26,Luvisols,Upland field,,,0~15,767,100,133,6.2,374.7,,6.8,12.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asada et al. ,"Sharma, K. L., U. K. Mandal, K. Srinivas, K. P. R. Vittal, B. Mandal, J. K. Grace, and V. Ramesh (2005), Long-term soil management effects on crop yields and soil quality in a dryland Alfisol, Soil Tillage Res., 83(2), 246-259.",,2005,India,78,17,515,746,26,Luvisols,Upland field,,,0~15,767,100,133,6.2,457.9,,6.8,14.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asada et al. ,"Sharma, K. L., U. K. Mandal, K. Srinivas, K. P. R. Vittal, B. Mandal, J. K. Grace, and V. Ramesh (2005), Long-term soil management effects on crop yields and soil quality in a dryland Alfisol, Soil Tillage Res., 83(2), 246-259.",,2005,India,78,17,515,746,26,Luvisols,Upland field,,,0~15,767,100,133,5.7,482.9,,6.8,15.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asada et al. ,"Sharma, K. L., U. K. Mandal, K. Srinivas, K. P. R. Vittal, B. Mandal, J. K. Grace, and V. Ramesh (2005), Long-term soil management effects on crop yields and soil quality in a dryland Alfisol, Soil Tillage Res., 83(2), 246-259.",,2005,India,78,17,515,746,26,Luvisols,Upland field,,,0~15,767,100,133,6.4,358,,6.8,10.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asada et al. ,"Sharma, K. L., U. K. Mandal, K. Srinivas, K. P. R. Vittal, B. Mandal, J. K. Grace, and V. Ramesh (2005), Long-term soil management effects on crop yields and soil quality in a dryland Alfisol, Soil Tillage Res., 83(2), 246-259.",,2005,India,78,17,515,746,26,Luvisols,Upland field,,,0~15,767,100,133,6,366.3,,6.8,10.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asada et al. ,"Sharma, K. L., U. K. Mandal, K. Srinivas, K. P. R. Vittal, B. Mandal, J. K. Grace, and V. Ramesh (2005), Long-term soil management effects on crop yields and soil quality in a dryland Alfisol, Soil Tillage Res., 83(2), 246-259.",,2005,India,78,17,515,746,26,Luvisols,Upland field,,,0~15,767,100,133,6.2,374.7,,6.8,11.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asada et al. ,"Sharma, K. L., U. K. Mandal, K. Srinivas, K. P. R. Vittal, B. Mandal, J. K. Grace, and V. Ramesh (2005), Long-term soil management effects on crop yields and soil quality in a dryland Alfisol, Soil Tillage Res., 83(2), 246-259.",,2005,India,78,17,515,746,26,Luvisols,Upland field,,,0~15,767,100,133,6.1,374.7,,6.8,11.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asada et al. ,"Shi, Y., R. Lalande, N. Ziadi, M. Sheng, and Z. Hu (2012), An assessment of the soil microbial status after 17 years of tillage and mineral P fertilization management, Appl. Soil Ecol., 62, 14-23.",,2012,Canada,73,45,,877,6.4,Gleysols,Upland field,,,0~15,204,432,364,6.3,1715.1,135.6,,17.8,1.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asada et al. ,"Shi, Y., R. Lalande, N. Ziadi, M. Sheng, and Z. Hu (2012), An assessment of the soil microbial status after 17 years of tillage and mineral P fertilization management, Appl. Soil Ecol., 62, 14-23.",,2012,Canada,73,45,,877,6.4,Gleysols,Upland field,,,0~15,204,432,364,6.3,1715.1,135.6,,17.8,1.8,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asada et al. ,"Shi, Y., R. Lalande, N. Ziadi, M. Sheng, and Z. Hu (2012), An assessment of the soil microbial status after 17 years of tillage and mineral P fertilization management, Appl. Soil Ecol., 62, 14-23.",,2012,Canada,73,45,,877,6.4,Gleysols,Upland field,,,0~15,204,432,364,6.3,1715.1,135.6,,17.3,2.1,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asada et al. ,"Shi, Y., R. Lalande, N. Ziadi, M. Sheng, and Z. Hu (2012), An assessment of the soil microbial status after 17 years of tillage and mineral P fertilization management, Appl. Soil Ecol., 62, 14-23.",,2012,Canada,73,45,,877,6.4,Gleysols,Upland field,,,0~15,204,432,364,6.3,1890,149.9,,22.6,2.6,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asada et al. ,"Shi, Y., R. Lalande, N. Ziadi, M. Sheng, and Z. Hu (2012), An assessment of the soil microbial status after 17 years of tillage and mineral P fertilization management, Appl. Soil Ecol., 62, 14-23.",,2012,Canada,73,45,,877,6.4,Gleysols,Upland field,,,0~15,204,432,364,6.3,1890,149.9,,18.9,2.3,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
